"Date","assembly","bash","shell","c","dart","html","css","haskell","java","javascript","julia","kotlin","php","perl","python","r","ruby","rust","sql","scala","swift","typescript","vba"
"2023-03-02","7","15","9","318","42","146","124","5","218","345","4","41","109","3","636","130","26","42","157","5","49","109","30"
"2023-03-03","11","18","23","306","39","135","112","2","206","307","7","48","92","3","641","122","30","20","151","13","53","101","36"
"2023-03-04","8","12","6","227","29","119","91","2","155","270","7","40","79","2","538","100","23","23","83","8","36","83","15"
"2023-03-05","4","6","8","152","36","68","54","2","108","178","2","16","52","2","350","52","12","36","54","2","32","46","14"
"2023-03-06","","3","2","76","11","30","26","4","56","71","","15","24","5","158","23","9","9","42","3","10","22","8"
"2023-03-07","5","19","15","307","43","137","99","4","204","330","1","42","87","2","698","107","24","34","126","10","57","109","31"
"2023-03-08","4","26","10","339","52","144","134","5","209","356","6","29","74","5","620","127","17","29","151","16","52","85","31"
"2023-03-09","6","14","10","246","36","111","91","3","165","265","5","33","74","3","521","94","20","28","109","8","42","79","24"
"2023-03-10","8","29","12","295","46","155","108","6","213","339","6","36","116","2","651","117","25","35","128","9","48","104","48"
"2023-03-11","4","16","11","147","15","92","64","2","105","206","","17","56","5","352","58","22","20","63","6","24","46","15"
"2023-03-12","2","5","6","83","17","35","34","1","47","94","","13","32","1","178","10","8","11","43","4","12","17","6"
"2023-03-13","","3","1","79","10","40","33","","59","97","","6","35","1","136","23","13","10","33","1","16","25","8"
"2023-03-14","5","18","7","252","39","90","84","2","145","231","3","38","82","2","467","81","13","20","115","10","51","65","28"
"2023-03-15","3","22","13","264","41","117","88","2","142","278","3","29","70","","438","72","18","11","107","8","42","79","28"
"2023-03-16","2","22","13","322","37","150","149","7","205","325","2","40","106","4","560","110","30","23","127","14","58","120","29"
"2023-03-17","4","30","7","238","34","109","81","2","180","234","4","27","83","3","426","97","24","17","95","9","34","77","15"
"2023-03-18","11","19","6","247","32","117","89","4","145","251","3","30","77","4","467","118","22","17","94","6","45","78","37"
"2023-03-19","6","16","9","229","33","106","86","3","151","246","4","29","73","3","461","85","20","23","99","8","39","73","24"
"2023-03-20","2","7","5","88","16","42","34","","43","78","","8","33","","132","16","4","5","40","1","26","19","12"
"2023-03-21","3","16","9","235","37","103","80","","161","257","1","33","73","5","444","72","20","23","97","4","22","61","14"
2023-03-22,3,22,10,266,23,115,87,2,159,271,2,32,76,4,489,94,17,16,94,6,38,69,20
2023-03-23,5,10,8,234,28,102,78,3,165,221,4,30,67,2,446,99,20,19,110,10,40,64,27
2023-03-24,8,17,10,245,39,101,94,1,157,261,6,29,70,2,431,113,32,24,121,7,34,66,24
2023-03-25,2,10,10,188,16,77,69,4,108,202,1,13,63,1,319,53,16,7,56,7,26,36,14
2023-03-26,2.0,7.0,5.0,97.0,11.0,46.0,35.0,1.0,60.0,100.0,1.0,11.0,37.0,,170.0,39.0,6.0,6.0,23.0,,11.0,22.0,6.0
2023-03-26,2.0,4.0,7.0,94.0,11.0,46.0,35.0,,58.0,78.0,1.0,13.0,29.0,1.0,173.0,33.0,6.0,11.0,29.0,,8.0,23.0,4.0
